,斥,岿,老,矫埃,瘤开,惯傈樊,碍荐樊,浅加,浅氢,嚼档,老炼矫埃,老荤樊,傈款樊,矫沥
42,2017,1,2,19,何魂,0.0,0.0,3.5,270.0,58.0,0.0,0.0,0.0,1976.0
43,2017,1,2,20,何魂,0.0,0.0,3.3,270.0,55.0,0.0,0.0,0.0,1986.0
44,2017,1,2,21,何魂,0.0,0.0,1.0,250.0,53.0,0.0,0.0,0.0,2000.0
45,2017,1,2,22,何魂,0.0,0.0,1.9,180.0,57.0,0.0,0.0,0.0,2000.0
46,2017,1,2,23,何魂,0.0,0.0,1.4,290.0,57.0,0.0,0.0,0.0,2000.0
47,2017,1,3,0,何魂,0.0,0.0,2.2,140.0,62.0,0.0,0.0,0.0,1803.0
48,2017,1,3,1,何魂,0.0,0.0,1.6,70.0,64.0,0.0,0.0,0.0,1623.0
49,2017,1,3,2,何魂,0.0,0.0,1.0,70.0,65.0,0.0,0.0,0.0,1458.0
50,2017,1,3,3,何魂,0.0,0.0,2.1,110.0,66.0,0.0,0.0,0.0,1404.0
51,2017,1,3,4,何魂,0.0,0.0,1.7,140.0,67.0,0.0,0.0,0.0,1246.0
52,2017,1,3,5,何魂,0.0,0.0,1.6,270.0,66.0,0.0,0.0,0.0,1131.0
53,2017,1,3,6,何魂,0.0,0.0,2.1,20.0,67.0,0.0,0.0,0.0,910.0
54,2017,1,3,7,何魂,0.0,0.0,3.5,340.0,67.0,0.0,0.0,0.0,835.0
55,2017,1,3,8,何魂,0.08,0.0,3.4,320.0,68.0,0.1,0.03,0.0,633.0
56,2017,1,3,9,何魂,3.38,0.0,4.1,320.0,62.0,1.0,0.42,0.0,558.0
57,2017,1,3,10,何魂,13.57,0.0,3.1,320.0,41.0,1.0,1.05,0.0,828.0
58,2017,1,3,11,何魂,22.38,0.0,3.2,360.0,41.0,1.0,1.54,0.0,900.0
59,2017,1,3,12,何魂,26.43,0.0,2.5,270.0,30.0,1.0,1.74,0.0,1238.0
60,2017,1,3,13,何魂,27.49,0.0,2.9,270.0,28.0,1.0,1.8,0.0,1637.0
61,2017,1,3,14,何魂,26.05,0.0,3.4,290.0,24.0,1.0,1.8,0.0,1580.0
62,2017,1,3,15,何魂,21.43,0.0,1.1,230.0,22.0,1.0,1.44,0.0,1825.0
63,2017,1,3,16,何魂,13.53,0.0,2.1,290.0,24.0,1.0,0.94,0.0,1784.0
64,2017,1,3,17,何魂,3.53,0.0,2.7,270.0,26.0,1.0,0.36,0.0,1968.0
65,2017,1,3,18,何魂,0.1,0.0,1.9,270.0,30.0,0.0,0.01,0.0,1876.0
66,2017,1,3,19,何魂,0.0,0.0,3.4,290.0,34.0,0.0,0.0,0.0,1680.0
67,2017,1,3,20,何魂,0.0,0.0,3.1,290.0,43.0,0.0,0.0,0.0,1270.0
68,2017,1,3,21,何魂,0.0,0.0,2.8,270.0,49.0,0.0,0.0,0.0,1212.0
69,2017,1,3,22,何魂,0.0,0.0,3.8,340.0,33.0,0.0,0.0,0.0,1529.0
70,2017,1,3,23,何魂,0.0,0.0,4.4,340.0,35.0,0.0,0.0,0.0,1397.0
71,2017,1,4,0,何魂,0.0,0.0,1.9,290.0,42.0,0.0,0.0,0.0,1242.0
72,2017,1,4,1,何魂,0.0,0.0,1.9,320.0,40.0,0.0,0.0,0.0,1150.0
73,2017,1,4,2,何魂,0.0,0.0,2.4,340.0,42.0,0.0,0.0,0.0,1157.0
74,2017,1,4,3,何魂,0.0,0.0,2.9,270.0,39.0,0.0,0.0,0.0,1262.0
75,2017,1,4,4,何魂,0.0,0.0,1.2,360.0,38.0,0.0,0.0,0.0,1474.0
76,2017,1,4,5,何魂,0.0,0.0,1.8,140.0,39.0,0.0,0.0,0.0,1475.0
77,2017,1,4,6,何魂,0.0,0.0,1.2,70.0,39.0,0.0,0.0,6.0,1548.0
78,2017,1,4,7,何魂,0.0,0.0,0.9,270.0,37.0,0.0,0.0,6.0,1744.0
79,2017,1,4,8,何魂,0.04,0.0,1.1,290.0,35.0,0.0,0.01,7.0,1849.0
80,2017,1,4,9,何魂,2.4,0.0,0.8,200.0,39.0,0.1,0.25,7.0,1493.0
81,2017,1,4,10,何魂,8.68,0.0,1.4,230.0,44.0,1.0,0.71,6.0,930.0
82,2017,1,4,11,何魂,14.07,0.0,3.0,340.0,44.0,1.0,1.12,7.0,799.0
83,2017,1,4,12,何魂,18.36,0.0,2.2,200.0,47.0,1.0,1.32,7.0,650.0
84,2017,1,4,13,何魂,20.86,0.0,1.3,290.0,42.0,1.0,1.47,6.0,648.0
85,2017,1,4,14,何魂,23.12,0.0,2.3,340.0,42.0,1.0,1.72,6.0,683.0
86,2017,1,4,15,何魂,17.87,0.0,3.6,340.0,43.0,1.0,1.24,6.0,719.0
87,2017,1,4,16,何魂,8.01,0.0,3.9,340.0,45.0,0.9,0.59,7.0,709.0
88,2017,1,4,17,何魂,3.65,0.0,4.9,340.0,47.0,1.0,0.33,6.0,694.0
89,2017,1,4,18,何魂,0.27,0.0,5.0,340.0,50.0,0.0,0.03,7.0,671.0
90,2017,1,4,19,何魂,0.0,0.0,5.6,340.0,49.0,0.0,0.0,0.0,690.0
91,2017,1,4,20,何魂,0.0,0.0,0.8,140.0,49.0,0.0,0.0,0.0,745.0
92,2017,1,4,21,何魂,0.0,0.0,0.0,0.0,51.0,0.0,0.0,2.0,759.0
93,2017,1,4,22,何魂,0.0,0.0,1.2,50.0,53.0,0.0,0.0,0.0,729.0
94,2017,1,4,23,何魂,0.0,0.0,2.9,20.0,48.0,0.0,0.0,0.0,846.0
95,2017,1,5,0,何魂,0.0,0.0,3.0,20.0,47.0,0.0,0.0,2.0,1023.0
96,2017,1,5,1,何魂,0.0,0.0,2.4,50.0,51.0,0.0,0.0,0.0,1125.0
97,2017,1,5,2,何魂,0.0,0.0,1.8,50.0,54.0,0.0,0.0,0.0,1138.0
98,2017,1,5,3,何魂,0.0,0.0,2.7,20.0,57.0,0.0,0.0,2.0,1341.0
99,2017,1,5,4,何魂,0.0,0.0,3.4,50.0,59.0,0.0,0.0,3.0,1593.0
100,2017,1,5,5,何魂,0.0,0.0,4.7,20.0,59.0,0.0,0.0,5.0,1714.0
101,2017,1,5,6,何魂,0.0,0.0,3.8,20.0,62.0,0.0,0.0,6.0,1765.0
102,2017,1,5,7,何魂,0.0,0.0,2.7,50.0,63.0,0.0,0.0,8.0,1693.0
103,2017,1,5,8,何魂,0.16,0.0,2.8,50.0,60.0,0.0,0.03,6.0,1419.0
104,2017,1,5,9,何魂,2.6,0.0,2.9,50.0,65.0,0.3,0.23,8.0,1591.0
105,2017,1,5,10,何魂,8.87,0.0,4.1,50.0,68.0,0.0,0.5,7.0,1974.0
106,2017,1,5,11,何魂,16.53,0.0,4.2,50.0,63.0,0.8,0.88,6.0,2000.0
107,2017,1,5,12,何魂,16.14,0.0,3.7,50.0,59.0,1.0,1.43,8.0,1917.0
108,2017,1,5,13,何魂,10.31,0.0,3.6,50.0,68.0,0.5,0.84,9.0,2000.0
109,2017,1,5,14,何魂,7.65,0.0,3.5,50.0,73.0,0.0,0.7,9.0,2000.0
110,2017,1,5,15,何魂,4.15,0.0,3.8,50.0,77.0,0.0,0.36,10.0,1807.0
111,2017,1,5,16,何魂,2.44,0.0,3.5,50.0,84.0,0.0,0.26,10.0,1411.0
112,2017,1,5,17,何魂,0.81,0.0,4.2,50.0,77.0,0.0,0.1,10.0,1945.0
113,2017,1,5,18,何魂,0.0,0.6,3.5,50.0,88.0,0.0,0.0,10.0,687.0
114,2017,1,5,19,何魂,0.0,0.0,3.8,50.0,85.0,0.0,0.0,10.0,2000.0
115,2017,1,5,20,何魂,0.0,0.0,4.2,50.0,84.0,0.0,0.0,10.0,2000.0
116,2017,1,5,21,何魂,0.0,0.1,3.5,50.0,82.0,0.0,0.0,10.0,1974.0
117,2017,1,5,22,何魂,0.0,0.0,3.8,50.0,83.0,0.0,0.0,10.0,1995.0
118,2017,1,5,23,何魂,0.0,0.0,4.3,50.0,83.0,0.0,0.0,10.0,2000.0
119,2017,1,6,0,何魂,0.0,0.0,4.0,50.0,78.0,0.0,0.0,10.0,2000.0
120,2017,1,6,1,何魂,0.0,0.0,3.1,50.0,77.0,0.0,0.0,0.0,2000.0
121,2017,1,6,2,何魂,0.0,0.0,2.7,50.0,74.0,0.0,0.0,0.0,2000.0
122,2017,1,6,3,何魂,0.0,0.0,3.0,50.0,71.0,0.0,0.0,10.0,2000.0
123,2017,1,6,4,何魂,0.0,0.0,3.1,50.0,69.0,0.0,0.0,10.0,2000.0
124,2017,1,6,5,何魂,0.0,0.0,3.2,50.0,68.0,0.0,0.0,8.0,2000.0
125,2017,1,6,6,何魂,0.0,0.0,2.7,50.0,68.0,0.0,0.0,7.0,2000.0
126,2017,1,6,7,何魂,0.0,0.0,3.7,50.0,65.0,0.0,0.0,10.0,2000.0
127,2017,1,6,8,何魂,0.01,0.0,3.2,50.0,66.0,0.0,0.0,3.0,2000.0
128,2017,1,6,9,何魂,3.14,0.0,3.1,20.0,62.0,0.2,0.28,6.0,2000.0
129,2017,1,6,10,何魂,12.89,0.0,2.8,50.0,53.0,1.0,1.01,4.0,2000.0
130,2017,1,6,11,何魂,21.17,0.0,3.1,50.0,50.0,1.0,1.56,3.0,2000.0
131,2017,1,6,12,何魂,23.16,0.0,3.1,50.0,44.0,1.0,2.09,5.0,2000.0
132,2017,1,6,13,何魂,22.15,0.0,3.4,50.0,50.0,0.8,1.34,6.0,2000.0
133,2017,1,6,14,何魂,21.17,0.0,3.1,50.0,48.0,0.2,0.77,7.0,2000.0
134,2017,1,6,15,何魂,18.41,0.0,3.5,20.0,51.0,0.8,0.95,3.0,2000.0
135,2017,1,6,16,何魂,11.88,0.0,2.8,50.0,50.0,0.8,0.83,2.0,2000.0
136,2017,1,6,17,何魂,3.58,0.0,2.3,50.0,52.0,1.0,0.35,1.0,2000.0
137,2017,1,6,18,何魂,0.09,0.0,2.8,50.0,55.0,0.0,0.02,0.0,2000.0
138,2017,1,6,19,何魂,0.0,0.0,2.8,20.0,58.0,0.0,0.0,0.0,2000.0
139,2017,1,6,20,何魂,0.0,0.0,2.3,50.0,59.0,0.0,0.0,0.0,2000.0
140,2017,1,6,21,何魂,0.0,0.0,2.8,20.0,60.0,0.0,0.0,0.0,2000.0
141,2017,1,6,22,何魂,0.0,0.0,3.4,20.0,59.0,0.0,0.0,0.0,2000.0
142,2017,1,6,23,何魂,0.0,0.0,2.5,50.0,62.0,0.0,0.0,0.0,2000.0
143,2017,1,7,0,何魂,0.0,0.0,2.6,50.0,60.0,0.0,0.0,0.0,2000.0
144,2017,1,7,1,何魂,0.0,0.0,2.6,50.0,62.0,0.0,0.0,0.0,2000.0
145,2017,1,7,2,何魂,0.0,0.0,2.0,50.0,64.0,0.0,0.0,0.0,2000.0
146,2017,1,7,3,何魂,0.0,0.0,1.9,70.0,64.0,0.0,0.0,0.0,2000.0
147,2017,1,7,4,何魂,0.0,0.0,1.0,20.0,69.0,0.0,0.0,0.0,2000.0
148,2017,1,7,5,何魂,0.0,0.0,0.3,0.0,70.0,0.0,0.0,0.0,2000.0
149,2017,1,7,6,何魂,0.0,0.0,0.5,230.0,72.0,0.0,0.0,0.0,2000.0
150,2017,1,7,7,何魂,0.0,0.0,0.5,70.0,71.0,0.0,0.0,5.0,2000.0
151,2017,1,7,8,何魂,0.11,0.0,1.3,110.0,70.0,0.2,0.03,3.0,2000.0
152,2017,1,7,9,何魂,3.08,0.0,0.8,70.0,63.0,0.7,0.36,3.0,1945.0
153,2017,1,7,10,何魂,9.05,0.0,1.7,50.0,59.0,0.7,0.73,8.0,2000.0
154,2017,1,7,11,何魂,13.14,0.0,2.2,20.0,56.0,0.3,0.95,5.0,2000.0
155,2017,1,7,12,何魂,14.88,0.0,1.7,50.0,55.0,0.7,1.19,8.0,2000.0
156,2017,1,7,13,何魂,14.91,0.0,1.4,50.0,54.0,0.3,1.16,10.0,2000.0
157,2017,1,7,14,何魂,9.93,0.0,1.3,70.0,55.0,0.0,0.8,10.0,2000.0
158,2017,1,7,15,何魂,9.52,0.0,2.5,90.0,61.0,0.0,0.77,10.0,2000.0
159,2017,1,7,16,何魂,5.33,0.0,2.3,70.0,62.0,0.0,0.45,10.0,2000.0
160,2017,1,7,17,何魂,1.14,0.0,1.9,50.0,65.0,0.0,0.13,10.0,2000.0
161,2017,1,7,18,何魂,0.01,0.0,2.5,50.0,68.0,0.0,0.0,10.0,2000.0
162,2017,1,7,19,何魂,0.0,0.0,3.3,50.0,67.0,0.0,0.0,0.0,2000.0
163,2017,1,7,20,何魂,0.0,0.0,3.6,50.0,68.0,0.0,0.0,0.0,2000.0
164,2017,1,7,21,何魂,0.0,0.0,3.5,50.0,69.0,0.0,0.0,9.0,2000.0
165,2017,1,7,22,何魂,0.0,0.0,3.4,50.0,70.0,0.0,0.0,0.0,2000.0
166,2017,1,7,23,何魂,0.0,0.0,2.8,50.0,70.0,0.0,0.0,0.0,2000.0
167,2017,1,8,0,何魂,0.0,0.0,3.0,50.0,75.0,0.0,0.0,10.0,1992.0
168,2017,1,8,1,何魂,0.0,0.0,3.5,20.0,83.0,0.0,0.0,10.0,1212.0
169,2017,1,8,2,何魂,0.0,0.0,4.4,20.0,86.0,0.0,0.0,10.0,1366.0
170,2017,1,8,3,何魂,0.0,2.9,5.0,20.0,87.0,0.0,0.0,10.0,1425.0
171,2017,1,8,4,何魂,0.0,0.0,3.6,20.0,86.0,0.0,0.0,10.0,1959.0
172,2017,1,8,5,何魂,0.0,0.0,3.4,20.0,87.0,0.0,0.0,10.0,1602.0
173,2017,1,8,6,何魂,0.0,1.5,4.3,50.0,87.0,0.0,0.0,10.0,1898.0
174,2017,1,8,7,何魂,0.0,0.0,3.4,20.0,88.0,0.0,0.0,10.0,2000.0
175,2017,1,8,8,何魂,0.0,0.0,3.2,20.0,85.0,0.0,0.01,10.0,2000.0
176,2017,1,8,9,何魂,0.58,0.2,3.6,50.0,85.0,0.0,0.14,10.0,2000.0
177,2017,1,8,10,何魂,2.75,0.0,2.9,50.0,80.0,0.0,0.28,10.0,2000.0
178,2017,1,8,11,何魂,4.35,0.0,2.9,20.0,71.0,0.0,0.38,10.0,2000.0
179,2017,1,8,12,何魂,9.46,0.0,3.5,20.0,68.0,0.1,0.79,9.0,2000.0
180,2017,1,8,13,何魂,7.97,0.0,3.0,20.0,67.0,0.0,0.59,10.0,2000.0
181,2017,1,8,14,何魂,12.42,0.0,3.8,50.0,66.0,0.0,0.7,10.0,2000.0
182,2017,1,8,15,何魂,8.17,0.0,3.8,50.0,66.0,0.0,0.73,6.0,2000.0
183,2017,1,8,16,何魂,8.93,0.0,2.6,50.0,61.0,0.9,0.84,4.0,2000.0
184,2017,1,8,17,何魂,3.24,0.0,1.4,20.0,66.0,0.9,0.38,3.0,2000.0
185,2017,1,8,18,何魂,0.16,0.0,1.6,360.0,69.0,0.0,0.01,3.0,2000.0
186,2017,1,8,19,何魂,0.0,0.0,1.0,70.0,69.0,0.0,0.0,0.0,2000.0
187,2017,1,8,20,何魂,0.0,0.0,1.5,360.0,73.0,0.0,0.0,0.0,2000.0
188,2017,1,8,21,何魂,0.0,0.0,1.1,320.0,74.0,0.0,0.0,8.0,2000.0
189,2017,1,8,22,何魂,0.0,0.0,1.7,340.0,73.0,0.0,0.0,0.0,2000.0
190,2017,1,8,23,何魂,0.0,0.0,2.3,360.0,70.0,0.0,0.0,0.0,2000.0
191,2017,1,9,0,何魂,0.0,0.0,1.8,320.0,73.0,0.0,0.0,8.0,2000.0
192,2017,1,9,1,何魂,0.0,0.0,1.6,290.0,72.0,0.0,0.0,0.0,2000.0
193,2017,1,9,2,何魂,0.0,0.0,3.2,290.0,73.0,0.0,0.0,0.0,2000.0
194,2017,1,9,3,何魂,0.0,0.0,2.1,140.0,73.0,0.0,0.0,8.0,2000.0
195,2017,1,9,4,何魂,0.0,0.0,2.8,20.0,64.0,0.0,0.0,8.0,1726.0
196,2017,1,9,5,何魂,0.0,0.0,3.1,360.0,64.0,0.0,0.0,3.0,1515.0
197,2017,1,9,6,何魂,0.0,0.0,1.9,70.0,64.0,0.0,0.0,1.0,1467.0
198,2017,1,9,7,何魂,0.0,0.0,2.8,230.0,64.0,0.0,0.0,0.0,1467.0
199,2017,1,9,8,何魂,0.06,0.0,5.7,290.0,61.0,0.0,0.02,0.0,1655.0
200,2017,1,9,9,何魂,2.96,0.0,6.8,290.0,56.0,1.0,0.36,0.0,1169.0
201,2017,1,9,10,何魂,9.7,0.0,6.8,290.0,54.0,0.8,0.65,0.0,1331.0
202,2017,1,9,11,何魂,16.55,0.0,3.8,290.0,54.0,1.0,1.03,2.0,1310.0
203,2017,1,9,12,何魂,23.14,0.0,3.5,290.0,53.0,1.0,1.37,2.0,1328.0
204,2017,1,9,13,何魂,26.69,0.0,3.6,340.0,47.0,1.0,1.59,2.0,1177.0
205,2017,1,9,14,何魂,25.22,0.0,3.1,320.0,44.0,1.0,1.66,0.0,1164.0
206,2017,1,9,15,何魂,20.95,0.0,5.1,360.0,38.0,1.0,1.35,0.0,1450.0
207,2017,1,9,16,何魂,13.65,0.0,2.4,340.0,36.0,1.0,0.9,0.0,1554.0
208,2017,1,9,17,何魂,3.96,0.0,2.0,360.0,38.0,1.0,0.4,0.0,1540.0
209,2017,1,9,18,何魂,0.17,0.0,0.8,290.0,40.0,0.1,0.01,0.0,1523.0
210,2017,1,9,19,何魂,0.0,0.0,2.4,340.0,40.0,0.0,0.0,0.0,1549.0
211,2017,1,9,20,何魂,0.0,0.0,1.4,290.0,38.0,0.0,0.0,0.0,1701.0
212,2017,1,9,21,何魂,0.0,0.0,2.2,340.0,43.0,0.0,0.0,0.0,1502.0
213,2017,1,9,22,何魂,0.0,0.0,2.6,340.0,46.0,0.0,0.0,0.0,1387.0
214,2017,1,9,23,何魂,0.0,0.0,2.9,270.0,44.0,0.0,0.0,0.0,1427.0
215,2017,1,10,0,何魂,0.0,0.0,3.1,320.0,51.0,0.0,0.0,0.0,1451.0
216,2017,1,10,1,何魂,0.0,0.0,3.1,230.0,55.0,0.0,0.0,0.0,1448.0
217,2017,1,10,2,何魂,0.0,0.0,6.2,290.0,57.0,0.0,0.0,0.0,1477.0
218,2017,1,10,3,何魂,0.0,0.0,8.5,340.0,59.0,0.0,0.0,0.0,1445.0
219,2017,1,10,4,何魂,0.0,0.0,4.2,340.0,58.0,0.0,0.0,0.0,1387.0
220,2017,1,10,5,何魂,0.0,0.0,2.7,290.0,60.0,0.0,0.0,0.0,1421.0
221,2017,1,10,6,何魂,0.0,0.0,2.6,290.0,59.0,0.0,0.0,0.0,1448.0
222,2017,1,10,7,何魂,0.0,0.0,3.1,110.0,56.0,0.0,0.0,0.0,1584.0
223,2017,1,10,8,何魂,0.07,0.0,2.3,70.0,53.0,0.3,0.03,0.0,1665.0
224,2017,1,10,9,何魂,3.41,0.0,3.5,70.0,45.0,1.0,0.47,0.0,1891.0
225,2017,1,10,10,何魂,15.08,0.0,3.5,270.0,41.0,1.0,1.09,0.0,1874.0
226,2017,1,10,11,何魂,23.71,0.0,3.5,20.0,37.0,1.0,1.61,0.0,1921.0
227,2017,1,10,12,何魂,28.42,0.0,5.5,290.0,38.0,1.0,1.84,0.0,1976.0
228,2017,1,10,13,何魂,29.99,0.0,3.5,320.0,34.0,1.0,1.93,0.0,1985.0
229,2017,1,10,14,何魂,28.59,0.0,3.4,320.0,35.0,1.0,1.87,0.0,2000.0
230,2017,1,10,15,何魂,23.86,0.0,4.7,290.0,32.0,1.0,1.52,0.0,2000.0
231,2017,1,10,16,何魂,15.91,0.0,2.3,290.0,31.0,1.0,1.01,0.0,2000.0
232,2017,1,10,17,何魂,4.56,0.0,1.8,340.0,32.0,1.0,0.44,0.0,2000.0
233,2017,1,10,18,何魂,0.19,0.0,0.4,0.0,33.0,0.1,0.02,0.0,2000.0
234,2017,1,10,19,何魂,0.0,0.0,1.5,360.0,37.0,0.0,0.0,0.0,2000.0
235,2017,1,10,20,何魂,0.0,0.0,1.4,290.0,36.0,0.0,0.0,0.0,2000.0
236,2017,1,10,21,何魂,0.0,0.0,0.7,20.0,39.0,0.0,0.0,0.0,2000.0
237,2017,1,10,22,何魂,0.0,0.0,1.1,290.0,42.0,0.0,0.0,0.0,2000.0
238,2017,1,10,23,何魂,0.0,0.0,3.1,270.0,45.0,0.0,0.0,0.0,2000.0
239,2017,1,11,0,何魂,0.0,0.0,1.3,70.0,46.0,0.0,0.0,0.0,2000.0
240,2017,1,11,1,何魂,0.0,0.0,1.1,270.0,47.0,0.0,0.0,0.0,2000.0
241,2017,1,11,2,何魂,0.0,0.0,2.1,360.0,45.0,0.0,0.0,0.0,2000.0
242,2017,1,11,3,何魂,0.0,0.0,2.1,360.0,40.0,0.0,0.0,0.0,2000.0
243,2017,1,11,4,何魂,0.0,0.0,2.2,50.0,37.0,0.0,0.0,0.0,2000.0
244,2017,1,11,5,何魂,0.0,0.0,2.3,20.0,36.0,0.0,0.0,0.0,2000.0
245,2017,1,11,6,何魂,0.0,0.0,2.9,20.0,34.0,0.0,0.0,0.0,2000.0
246,2017,1,11,7,何魂,0.0,0.0,2.1,140.0,34.0,0.0,0.0,4.0,2000.0
247,2017,1,11,8,何魂,0.06,0.0,2.2,70.0,27.0,0.3,0.04,4.0,2000.0
248,2017,1,11,9,何魂,3.11,0.0,4.4,360.0,22.0,0.9,0.38,2.0,2000.0
249,2017,1,11,10,何魂,12.88,0.0,3.6,360.0,23.0,1.0,0.97,2.0,2000.0
250,2017,1,11,11,何魂,14.83,0.0,2.4,360.0,19.0,1.0,1.1,3.0,2000.0
251,2017,1,11,12,何魂,27.23,0.0,2.0,70.0,19.0,1.0,1.93,2.0,2000.0
252,2017,1,11,13,何魂,30.09,0.0,3.8,360.0,24.0,1.0,2.0,2.0,2000.0
253,2017,1,11,14,何魂,28.49,0.0,3.8,290.0,26.0,1.0,1.85,2.0,2000.0
254,2017,1,11,15,何魂,24.27,0.0,3.6,320.0,26.0,1.0,1.55,0.0,2000.0
255,2017,1,11,16,何魂,16.11,0.0,3.3,270.0,26.0,1.0,1.02,0.0,2000.0
256,2017,1,11,17,何魂,4.76,0.0,4.7,270.0,29.0,1.0,0.44,0.0,2000.0
257,2017,1,11,18,何魂,0.23,0.0,2.4,270.0,31.0,0.2,0.03,0.0,2000.0
258,2017,1,11,19,何魂,0.0,0.0,1.9,270.0,34.0,0.0,0.0,0.0,2000.0
259,2017,1,11,20,何魂,0.0,0.0,1.5,290.0,35.0,0.0,0.0,0.0,2000.0
260,2017,1,11,21,何魂,0.0,0.0,3.2,290.0,46.0,0.0,0.0,5.0,2000.0
261,2017,1,11,22,何魂,0.0,0.0,3.4,270.0,50.0,0.0,0.0,0.0,2000.0
262,2017,1,11,23,何魂,0.0,0.0,4.3,290.0,48.0,0.0,0.0,0.0,2000.0
263,2017,1,12,0,何魂,0.0,0.0,1.4,180.0,47.0,0.0,0.0,8.0,2000.0
264,2017,1,12,1,何魂,0.0,0.0,1.5,90.0,47.0,0.0,0.0,0.0,2000.0
265,2017,1,12,2,何魂,0.0,0.0,1.6,160.0,43.0,0.0,0.0,0.0,2000.0
